,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Trump Tariffs,,,,,,,,,,,,,,,,
,,,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,,Property Valuation,
,Assets,Total Assets,"£68,929","£73,057","£76,257","£79,570","£82,677","£86,281","£88,606","£121,082","£121,976","£128,103","£139,188","£132,727","£138,441","£140,260","£143,894","£146,910","£160,526","£167,495","£167,980","£182,148","£188,177","£201,319","£210,455","£202,070","£209,839","£231,564","£208,794","£231,793","£308,438","£314,526","£321,378","£382,167","£396,139","£406,188","£422,344","£418,223",£0,£0,£0,£0,,Dec 2023,"£450,000"
,,Cash,"£2,000","£3,300","£1,631","£2,436","£1,700","£2,000","£1,800","£28,100","£26,900","£31,200","£38,500","£5,300","£3,600",£500,"£1,000","£1,500",£900,£0,"£10,000","£8,000","£6,000","£8,000","£30,000","£20,000","£15,000","£8,000","£2,000","£1,000",£0,£0,£0,"£40,000","£40,000","£10,000",£0,£0,£0,£0,£0,£0,,,
,,Marcus (Cash Savings),"£2,000","£3,000","£1,031","£1,536",£500,£500,£0,"£26,000","£24,500","£28,500","£35,500","£2,000",£0,£500,"£1,000","£1,500",£900,£0,"£10,000","£8,000","£6,000","£8,000","£30,000","£20,000","£15,000","£8,000","£2,000","£1,000",£0,£0,£0,"£40,000","£40,000","£10,000",£0,£0,,,,,,,
,,First Direct (Regular Saver),£0,£300,£600,£900,"£1,200","£1,500","£1,800","£2,100","£2,400","£2,700","£3,000","£3,300","£3,600",£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,,,,,,,
,,ISA,"£36,775","£37,834","£41,923","£42,538","£43,786","£45,529","£46,212","£50,025","£50,781","£51,783","£52,258","£28,844","£31,154","£32,303","£33,220","£33,722","£34,644","£35,920","£36,734","£35,850","£38,573","£41,178","£42,962","£43,358","£51,298","£47,688","£46,390","£54,067","£58,120","£59,691","£61,259","£77,751","£80,262","£84,774","£86,427","£84,949",£0,£0,£0,£0,,,
,,LISA (AJ Bell),"£15,000","£15,000","£19,214","£19,214","£19,214","£20,278","£20,278","£24,278","£25,390","£25,390","£25,390",£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,,,,,,,
,,Vanguard ISA,"£21,775","£22,834","£22,709","£23,324","£24,572","£25,251","£25,934","£25,747","£25,391","£26,393","£26,868","£28,844","£31,154","£32,303","£33,220","£33,722","£34,644","£35,920","£36,734","£35,850","£38,573","£41,178","£42,962","£43,358","£51,298","£47,688","£46,390","£54,067","£58,120","£59,691","£61,259","£77,751","£80,262","£84,774","£86,427","£84,949",,,,,,,
,,Pension,"£30,154","£31,923","£32,703","£34,596","£37,191","£38,752","£40,594","£42,957","£44,295","£45,120","£48,430","£51,724","£56,033","£59,187","£60,729","£62,100","£64,702","£68,657","£69,688","£71,039","£75,699","£78,529","£83,229","£83,792","£87,793","£84,466","£78,273","£84,938","£91,791","£95,634","£100,251","£103,801","£108,683","£116,595","£119,622","£117,400",£0,£0,£0,£0,,,
,,"Pension 1 (Fidelity, Palantir)","£9,120","£10,889","£12,187","£13,935","£16,051","£17,557","£19,000","£21,354","£22,796","£24,274","£26,424","£28,971","£56,033","£59,187","£60,729","£62,100","£64,702","£68,657","£69,688","£71,039","£75,699","£78,529","£83,229","£83,792","£87,793","£84,466","£78,273","£84,938","£91,791","£95,634","£100,251","£103,801","£108,683","£116,595","£119,622","£117,400",,,,,,,
